Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
396217,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,27/04/2018,Resol. de 26 de abril de 2018, de la D.P. del SEPE, por la que se aprueba por el proced. T. A. la convoc. para la concesión, en rég. de concurr. compet. de subv. a los Prog. de E.T. y C.O. y de T.E.  en el ámbito territorial de C.A. de Melilla 2018,
396202,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,27/04/2018,SUBVENCIONES PARA FOMENTAR EL EMPLEO INDEFINIDO DE TRABAJADORES DISCAPACITADOS,
396163,NO,ESTADO,MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES,DIRECCIÓN GENERAL DE MIGRACIONES,26/04/2018,DGM-SGII Protección Internacional (2018-2020). Cofinanciado con FAMI y FSE.,
396109,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,26/04/2018,Subvención nominativa a Coordinadora de Asociaciones de Archiveros. 2017,
396091,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,26/04/2018,Subvención nominativa a Fundación Casa de Medina Sidonia (PGE 2017),
396030,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,26/04/2018,Subvención nominativa a Archiveros Sin Fronteras. 2017,
396027,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,26/04/2018,Subvención nominativa a Fundación Medina Sidonia (PGE 2016),
396022,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,26/04/2018,Subvención nominativa a Archiveros Sin Fronteras. 2016,
396019,NO,ESTADO,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,CENTRO DE ESTUDIOS Y EXPERIMENTACIÓN DE OBRAS PÚBLICAS (CEDEX),26/04/2018,Resolución de 25 de abril de 2018 por la que se convocan los premios por jubilación al personal del Centro de Estudios y Experimentación de Obras Públicas (Ministerio de Fomento) que se haya jubilado en el año 2017,
396010,NO,ESTADO,MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES,DIRECCIÓN GENERAL DE MIGRACIONES,26/04/2018,DGM-SGII Protección Internacional (2018-2020). Cofinanciado con FAMI y FSE.,
395999,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MÁLAGA,26/04/2018,PROGRAMA DE FOMENTO DE EMPLEO AGRARIO. GARANTÍA DE RENTAS 2018,
395913,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE BADAJOZ,25/04/2018,Extracto de la Resolución de 25 de abril de 2018 de la Dirección Provincial del Servicio Público de Empleo Estatal de Badajoz por la que se efectúa convocatoria de subvenciones a las Corporaciones locales, en procedimiento de concesión directa, para la re,
395912,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE BADAJOZ,25/04/2018,Extracto de la Resolución de 25 de abril de 2018 de la Dirección Provincial del Servicio Público de Empleo Estatal en Badajoz por la que se efectúa convocatoria de subvenciones a las Corporaciones Locales, en procedimiento de concesión directa, para la re,
395906,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,SERVICIO PÚBLICO DE EMPLEO ESTATAL,25/04/2018,CONVOCATORIA PARA LA CONCESIÓN DE SUBVENCIONES A LOS PROGRAMAS DE ESCUELAS TALLER Y CASAS DE OFICIOS Y TALLERES DE EMPLEO, DE PROYECTOS DE COLABORACIÓN CON ÓRGANOS DE LA AGE PARA EL AÑO 2018,
395789,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,25/04/2018,Campus Inclusivos, Campus sin límites, 2018,
395761,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,25/04/2018,Subvención nominativa a la Fundación Real Fábrica de Tapices para cancelación parcial de su pasivo acumulado,
395760,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,25/04/2018,Subvención nominativa a la Fundación Real Fábrica de Tapices para el desarrollo de sus,
395757,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,25/04/2018,Subvención nominativa a la Asociación UNESCO Valencia Mediterráneo para el programa Ruta de la Seda,
395755,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES,25/04/2018,Subvención nominativa al Grupo Ciudades Patrimonio de la Humanidad de Españapara elaboración de estudios sobre conservación de las ciudades declaradas Patrimonio Mundial,
395699,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE INVESTIGACIÓN,24/04/2018,Subvención nominativa IBERCIVIS-PGE 2017,
395506,NO,ESTADO,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,DIRECCIÓN GENERAL DE COOPERACIÓN AUTONÓMICA Y LOCAL,23/04/2018,Resolución de la Dirección General de Relaciones con las Comunidades Autónomas y Entes Locales, por la que se aprueba la convocatoria 2018 de ayudas del Fondo Social Europeo, previstas en el Programa Operativo de Empleo, Formación y Educación ( POEFE) ...,
395451,NO,ESTADO,MINISTERIO DE IGUALDAD,INSTITUTO DE LAS MUJERES,23/04/2018,Extracto de la Resolución de 23 de abril de 2018,
395421,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,CONSEJO SUPERIOR DE DEPORTES,23/04/2018,Resolución de 23 de abril de 2018, de la Presidencia del Consejo Superior de Deportes por la que se convocan subvenciones para el desarrollo de los Campeonatos de España escolar por selecciones autonómicas,
395417,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE LAS PALMAS,23/04/2018,Programa de fomento de empleo agrario en zonas rurales deprimidas en 2018,
395302,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MELILLA,20/04/2018,Resolución de 20 de abril 2018, de la Dirección Provincial del SEPE de Melilla, por la que se convocan subvenciones dirigidas prioritariamente a los trabajadores desempleados 2018,
395252,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE CUENCA,20/04/2018,PEEZRD 2018,
395202,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE MURCIA,20/04/2018,SUBVENCIONES CCE 2018 DP SEPE MURCIA.,
395198,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,20/04/2018,Resolución de 17 de abril de 2018, de la SEC, por la que se convocan becas CULTUREX de formación práctica en gestión cultural para jóvenes españoles en instituciones culturales en el exterior y en la Representación Permanente de España ante la UNESCO.,
395048,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,COMISIÓN NACIONAL DEL MERCADO DE VALORES (CNMV),19/04/2018,SUBVENCION COBERTURA DE GASTOS DEL INSTITUTO IBEROAMERICANO DEL MERCADO DE VALORES,
394984,NO,ESTADO,MINISTERIO DE INDUSTRIA Y TURISMO,DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES,19/04/2018,Real Decreto 874/2017, de 29 de septiembre, por el que se regula el apoyo oficial en forma de subvención al tipo de interés de los créditos para la construcción de buques.,
394876,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE SEVILLA,19/04/2018,PROGRAMA DE FOMENTO DE EMPLEO AGRARIO,
394871,NO,ESTADO,MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030,AGENCIA ESPAÑOLA DE SEGURIDAD ALIMENTARIA Y NUTRICIÓN,19/04/2018,Subvención Asociaciones de Consumidores 2018,
394810,NO,ESTADO,MINISTERIO DE HACIENDA,FUNDACIÓN SEPI, F.S.P.,18/04/2018,AYUDA PARA INSERCIÓN LABORAL,
394782,NO,ESTADO,MINISTERIO DE DEFENSA,EJÉRCITO DE TIERRA,18/04/2018,Resolución de 18 de abril de 2018, del Jefe de Estado Mayor del Ejército de Tierra, por la que se convocan los Premios Ejército 2018,
394761,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,18/04/2018,DESIERTA-12/2017	PARTICIPACIÓN EN EL ÁREA DE INFORMÁTICA,
394758,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,18/04/2018,DESIERTA-9/2017	PARTICIPACIÓN EN EL ÁREA DE PESCA Y ACUICULTURA SOSTENIBLES. PROYECTO PLEAMAR,
394755,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,18/04/2018,DESIERTA-3/2017	PARTICIPACIÓN EN EL ÁREA DE RÉGIMEN ECONÓMICO, FINANCIERO Y PRESUPUESTARIO,
394754,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,18/04/2018,DESIERTA-2/2017	PARTICIPACIÓN EN EL ÁREA DE RÉGIMEN ECONÓMICO, FINANCIERO Y PRESUPUESTARIO,
394753,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,18/04/2018,DESIERTA-1/2017	PARTICIPACIÓN EN EL ÁREA DE RÉGIMEN ECONÓMICO, FINANCIERO Y PRESUPUESTARIO,
394727,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,18/04/2018,DIR.BEC.9	PARTICIPACIÓN EN EL ÁREA DE RÉGIMEN ECONÓMICO , FINANCIERO Y PRESUPUESTARIO (13/2016),
394657,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,FONDO ESPAÑOL DE GARANTÍA AGRARIA,18/04/2018,Resolución de 17 de abril de 2018, del FEGA por la que se convocan ayudas para la concesión de subvenciones para la creación y funcionamiento de grupos operativos (AEI) PNDR 2014-2020,
394544,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,17/04/2018,DIR.BEC.3	APOYO GRÁFICO EN EL ÁREA DE COMUNICACIÓN, RELACIONES INSTITUCIONALES Y SOCIAL MEDIA (9/2016),
394541,NO,ESTADO,MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA,ENTIDAD PÚBLICA EMPRESARIAL RED.ES,17/04/2018,Resolución de 13 de abril de 2018, del Director General de la entidad pública empresarial Red.es, M.P. por la que se convocan las ayudas para el Programa de Impulso al Sector del Videojuego,
394475,NO,ESTADO,MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,FUNDACIÓN BIODIVERSIDAD,17/04/2018,PRO.BEC.6	PARTICIPACIÓN EN EL PROYECTO RED EMPRENDEVERDE (REV) DEL PROGRAMA EMPLEAVERDE (6/2016),
394469,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,17/04/2018,Resolución de 16 de abril de 2018  por la que se convocan los premios del XVII Certamen Universitario Arquímedes,
394354,NO,ESTADO,MINISTERIO DE HACIENDA,SUBSECRETARÍA DE HACIENDA,16/04/2018,CONVOCATORIA BECAS PARA LA PREPARACION DE LAS PRUEBAS SELECTIVAS DE ACCESO POR PROMOCION INTERNA A LOS CUERPOS ESPECIALES Y ESPECIALIDADES ADSCRITOS AL MINISTERIO DE HACIENDA Y FUNCION PUBLICA Y A LA AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA,
394339,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,16/04/2018,Resolución de 26 de febrero de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria LINEAPELLE II MILÁN 2018 - 25- 27 SEPTIEMBRE,
394304,NO,ESTADO,MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA,SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES,16/04/2018,Resolución de la Secretaría de Estado para la Sociedad de la Información y la Agenda Digital, por la que se convocan ayudas para la realización de proyectos en el marco del Programa de extensión de la banda ancha de nueva generación,
394298,NO,ESTADO,MINISTERIO DE DEFENSA,SEA 15 AGRUPACIÓN DEL CGEA,16/04/2018,Resolución de 12 de abril, de la Jefatura de Estado Mayor del Ejército del Aire, por la que se convocan los Premios Ejército del Aire 2018,
394076,NO,ESTADO,MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA,ENTIDAD PÚBLICA EMPRESARIAL RED.ES,13/04/2018,Resolución de 10 de abril de 2018 de la entidad pública empresarial Red.es M.P. por la que se convocan las ayudas del Programa de Formación para la adquisición y mejor de competencias en el ámbito de la transformación y economía digital,
394054,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,13/04/2018,X Concurso Nacional de Teatro Clásico Grecolatino,
393972,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,13/04/2018,Resolución de 12 de abril de 2018 de la Presidencia del CDTI, E.P.E., por la que se aprueba la convocatoria del año 2018 del procedimiento de concesión de subvenciones destinadas a fomentar la cooperación regional en I+D (Programa FEDER INTERCONECTA),
393969,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,CONSEJO SUPERIOR DE DEPORTES,13/04/2018,Resolución de 12 de abril de 2018, de la Presidencia del Consejo Superior de por la que se convocan ayudas a Comunidades Autónomas para la realización de actividades en Centros de Tecnificación deportiva y Centros Especializados de Tecnificación deportiva,
393965,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,13/04/2018,II Concurso Nacional de Coros Escolares, curso 2014/2015,
393936,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,13/04/2018,Orden ECD/365/2018, de 23 de marzo, por la que se convocan las ayudas Beatriz Galindo.,
393755,NO,ESTADO,MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES,INSTITUTO SOCIAL DE LA MARINA,12/04/2018,Resolución de 5 de abril de 2018, del Instituto Social de la Marina, por la que se convocan ayudas económicas para la dotación de los botiquines de los que han de ir provistos los buques, correspondientes al año 2017.,
393752,NO,ESTADO,MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,DIRECCIÓN PROVINCIAL DEL SEPE DE CEUTA,12/04/2018,Subvenciones para acciones profesionales para el empleo y autoempleo a entidades colaboradoras,
393658,NO,ESTADO,MINISTERIO DE CULTURA,MUSEO NACIONAL DEL PRADO,11/04/2018,CONVOCATORIA BECA REAL ACADEMIA ESPAÑOLA,
393578,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA,11/04/2018,Resolución de 10 de abril de 2018 de la Secretaría de Estado de Cultura por la que se convocan subvenciones, en régimen de concurrencia competitiva, para el fomento de la traducción a lenguas extranjeras,
393575,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,DIRECCIÓN GENERAL DE ESPAÑOLES EN EL EXTERIOR Y DE ASUNTOS CONSULARES,11/04/2018,Orden MAEC de 11 de abril de 2018 por la que se convoca la concesión de subvenciones para la asistencia jurídica a ciudadanos españoles que afronten condenas de pena de muerte para el ejercicio 2018,
393552,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,ENTIDAD ESTATAL DE SEGUROS AGRARIOS - ENESA,10/04/2018,Subvenciones destinadas a organizaciones profesionales agrarias y organizaciones de cooperativas de ámbito estatal para la realización de actuaciones de apoyo a los seguros agrarios para el ejercicio 2018,
393550,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,ENTIDAD ESTATAL DE SEGUROS AGRARIOS - ENESA,10/04/2018,subvenciones a organizaciones profesionales y organizaciones de las cooperativas agrarias de ámbito estatal para el fomento de los seguros agrarios, con cargo a los presupuestos para el ejercicio 2018,
393515,NO,ESTADO,MINISTERIO DEL INTERIOR,D.G. DE APOYO A VÍCTIMAS DEL TERRORISMO,10/04/2018,Orden de 10 de abril de 2018 del Ministro del Interior, por la que se convoca la concesión de ayudas destinadas a asoc,
393476,NO,ESTADO,MINISTERIO DE CULTURA,DIRECCIÓN GENERAL DE DERECHOS CULTURALES,10/04/2018,Resolución de 10 de abril de 2018, de la Secretaría de Estado de Cultura, por la que se convoca el Programa de Ayudas HISPANEX 2018 para personas físicas en el ámbito universitario extranjero para la promoción exterior de la lengua y cultura españolas.,
393373,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,10/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria LINEAPELLE 2018 - Milán,
393372,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,10/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria PREMIÈRE VISION LEATHER 2018 - PARÍS,
393369,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,10/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria ALL CHINA LEATHER EXHIBITION 2018,
393336,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,09/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria Singapore Yacht Show 2018,
393332,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,09/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria IFE CHINA 2018,
393245,NO,ESTADO,MINISTERIO DEL INTERIOR,SUBDIRECCIÓN GENERAL DE GESTIÓN ECONÓMICA Y PATRIMONIAL,09/04/2018,ayuda para asistencia a jornadas de intercambio de experiencias conocimientos y prácticas exitosas en materia lucha contra radicalización violenta. grupo Alianza.,
393207,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,SECRETARÍA GENERAL DE UNIVERSIDADES,09/04/2018,Ayudas Beatriz Galindo para la atracción del talento,
393036,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,DIRECCIÓN GENERAL DE DESARROLLO RURAL, INNOVACIÓN Y FORMACIÓN AGROALIMENTARIA,06/04/2018,SUBVENCIÓN NOMINATIVA A LA FEDERACIÓN NACIONAL DE COMUNIDADES DE REGANTES DE ESPAÑA (FENACORE), PARA GASTOS DE FORMACIÓN, ASESORAMIENTO Y APOYO A LAS COMUNIDADES DE REGANTES DE ESPAÑA PARA EL EJERCICIO PRESUPUESTARIO 2018,
393034,NO,ESTADO,MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES,DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL,06/04/2018,Resolución de 2 de abril de 2018, de la Secretaría de Estado de Educación,  Formación Profesional y Universidades, por la que se convocan becas para participar en el programa campus de profundización científica para estudiantes de educación secundaria,
392951,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,SUBSECRETARÍA DE AGRICULTURA, PESCA Y ALIMENTACIÓN,06/04/2018,2018-Subvención avales SAECA para explotaciones agrarias afectadas por sequía 2017,
392944,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,06/04/2018,Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba una convocatoria de renovación de los Programas de Becas MAEC-AECID de prácticas de gestión cultural en el exterior y de práctica,
392943,NO,ESTADO,MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN,DIRECCIÓN GENERAL DE ALIMENTACIÓN,06/04/2018,Orden del Ministerio de Agricultura  y Pesca , Alimentación y Medio Ambiente por la que se convocan becas de formación práctica en 2018 en el área de la industria alimentaria, para titulados universitarios,
392882,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 29 de enero de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Misión Directa a ARGENTINA 2018 - 2- 6 julio,
392881,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 27 de diciembre de 2017 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria ADIPEC 2018 - Abu Dhabi,
392880,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria Salon du Sport et des Loisirs (SISL) 2018 - MARRUECOS,
392879,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Misión Directa a ARGENTINA 2018,
392878,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria ROSMOULD 2018 - Moscú (Rusia),
392877,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria OUTDOOR Friedrichshafen 2018 - ALEMANIA,
392876,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria IMTS 2018 - Chicago (EEUU),
392875,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria IBA 2018 - ALEMANIA,
392874,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria FUNDIEXPO 2018 - MÉXICO,
392872,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria FIBO 2018 - ALEMANIA,
392867,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria AMB 2018 - ALEMANIA,
392866,NO,ESTADO,MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA,ICEX ESPAÑA EXPORTACIÓN E INVERSIONES, EP E.,05/04/2018,Resolución de 23 de marzo de 2018 de ICEX España Exportación e Inversiones, E.P.E., M.P. por la que se convoca la concesión de ayudas para la Participación Agrupada en la Feria ALUMINIUM 2018 - ALEMANIA,
392858,NO,ESTADO,MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES,INSTITUTO DE ASTROFÍSICA DE CANARIAS,05/04/2018,CONVOCATORIA DESIERTA -Res. de 5 de abril de 2018 del(I.A.C.) por la que se hace pública convocatoria de 1beca de verano para formación en comunicación y divulgación de la cultura científico-técnica,
