Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
599193,NO,OTROS,CÁMARA DE COMERCIO DE GRANADA,,09/12/2021,CONVOCATORIA PROGRAMA INNOCÁMARAS 2021 GRANADA,
599069,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,07/12/2021,Convocatoria de 6 ayudas de matrícula de 360  para estudiantes del título propio de Máster en prevención y tratamiento de la violencia de género. Universidad de Castilla-La Mancha. Curso académico (2021/22),
599068,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,07/12/2021,Convocatoria de 2 ayudas de matrícula de 600  para estudiantes del título propio de Máster en prevención y tratamiento de la violencia de género. Universidad de Castilla-La Mancha. Curso académico (2021/22),
599067,NO,OTROS,UNIVERSIDAD DE CASTILLA-LA MANCHA,,07/12/2021,Convocatoria de 1 ayuda de matrícula de 1.200  para estudiantes del título propio de Máster en prevención y tratamiento de la violencia de género. Universidad de Castilla-La Mancha. Curso académico (2021/22),
598990,NO,OTROS,UNIVERSIDAD DE CANTABRIA,,07/12/2021,Resolución del Vicerrector de Investigación y Pol. Cient. de la Univ. Cantabria por la que se establecen las BB.RR. y se convocan ayudas para la contratación de doctores en el área de cc. jurídicas (Derecho), en colaboración con el Parlamento de Cantabria,
598871,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,03/12/2021,I concurso universitario ARTemprén,I concurs universitari *ARTemprén
598827,NO,OTROS,UNIVERSITAT DE VALÈNCIA (ESTUDI GENERAL),,03/12/2021,Ayudas de la Cátedra de Finanzas Internacionales - Banco Santander para prácticas externas del estudiantado que curse estudios oficiales en la Facultad de Economía, curso 2021/2022,Ajudes de la Càtedra de Finances Internacionals - Banc Santander per a pràctiques externes de lestudiantat que curse estudis oficials en la Facultat dEconomia, curs 2021/2022
598371,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,02/12/2021,Bolsa de prácticas externas del Máster en Cooperación para el Desarrollo,Convocatòria de beques per a la realització de pràctiques externes internacionals en el marc del Màster en Cooperació per al Desenvolupament de la UPV
598370,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,02/12/2021,V edición Mejor TFG 2019-2020. Cátedra Arquitectura Técnica,
598369,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,02/12/2021,II Concurso Living Sketch. Càtedra Living Architecture,
598368,NO,OTROS,UNIVERSITAT POLITÈCNICA DE VALÈNCIA,,02/12/2021,II Premios TFG/TFM Catedra Planeta y Desarrollo Sostenible,
598362,NO,OTROS,CÁMARA DE COMERCIO DE CAMPO DE GIBRALTAR,,02/12/2021,2ª Convocatoria Ayudas a la Contratación PICE Cámara de Comercio Campo de Gibraltar 2021,
598192,NO,OTROS,UNIVERSIDAD DE BURGOS,,01/12/2021,Resolución de 1 de diciembre de 2021 del Rector de la Universidad de Burgos, por la que se convocan las ayudas para estudiantes que cursan el Máster interuniversitario de cooperación internacional al desarrollo,
598180,NO,OTROS,UNIVERSIDAD DE MURCIA,,01/12/2021,RESOLUCIÓN DEL RECTOR DE LA UNIVERSIDAD DE MURCIA POR LA QUE SE CONVOCAN DOS PLAZAS Y FINANCIACIÓN PARA ESTUDIANTES DEL MÁSTER DE TECNOLOGÍA Y BIOLOGÍA DE LA REPRODUCCIÓN DE MAMÍFEROS PARA PRÁCTICAS Y TFM EN LA UNIVERSIDAD DE OKAYAMA (JAPÓN) ERASMUS +,
598123,NO,OTROS,CÁMARA DE COMERCIO DE CÓRDOBA,,01/12/2021,APLAZAMIENTO CELEBRACIÓN. Convocatoria PIP 2022 Participación como expositor en la feria VICENZAORO para empresas de la provincia de Córdoba,
598075,NO,OTROS,UNIVERSIDAD DE LA LAGUNA,,01/12/2021,CONVOCATORIA DE PREMIOS EXTRAORDINARIOS DE DOCTORADO DE LA UNIVERSIDAD DE LA LAGUNA A LAS TESIS DOCTORALES DEFENDIDAS EN EL CURSO ACADÉMICO 2020/2021,
597981,NO,OTROS,CÁMARA DE COMERCIO DE ORIHUELA,,30/11/2021,Convocatoria Programa Sostenibilidad 2021-Cámara Orihuela,
597977,NO,OTROS,CÁMARA DE COMERCIO DE CANTABRIA,,30/11/2021,Convocatoria Ayudas PICE 2021 - Cámara Cantabria,
597939,SI,OTROS,UNIVERSIDAD DE ALMERÍA,,30/11/2021,Resolución de 1 de julio de 2021 de la Universidad de Almería por la que se publica la Convocatoria Ayudas para la recualificación del sistema universitario español para 2021-2023,
597871,NO,OTROS,UNIVERSIDAD DE BURGOS,,30/11/2021,Resolución del Rector de la Universidad de Burgos por la que se convocan ayudas para alumnos de la Universidad de Burgos que deban realizar las prácticas obligatorias fuera de la ciudad de Burgos y del domicilio familiar para el curso 2021/2022,
597798,SI,OTROS,UNIVERSIDAD DE LLEIDA,,30/11/2021,Resolución del 02 de julio de la Universidad de Lleida por la que se convocan Ayudas para la recualificación del sistema universitario español para 2021-2023,Resolució de 2 de juliol de la Universitat de Lleida per la que es convoquen Ajudes per la requalificacio del sistema univeritari espanyol per 2021-2023
597792,SI,OTROS,UNIVERSIDAD DE JAÉN,,30/11/2021,Resolución de 2 de julio de 2021, del Rector de la Universidad de Jaén, por la que se publica la Convocatoria de Ayudas para la Recualificación del Sistema Universitario Español para 2021-2023.,
597775,NO,OTROS,UNIVERSIDAD DE ALICANTE,,30/11/2021,SORTEO ACÉRCATE A BERNÁCER EN ELDA DE LA CÁTEDRA GERMÁN BERNÁCER DE LA UNIVERSIDAD DE ALICANTE,
597751,NO,OTROS,UNIVERSIDAD DE BURGOS,,30/11/2021,Resolución del Rector de la Universidad de Burgos de 29 de noviembre de 2021 por la que se convocan ayudas para estudiantes que realicen el practicum de Maestro Educación Infantil y Primaria en centros de carácter innovador del medio rural curso 2021/2022,
597727,SI,OTROS,UNIVERSIDAD DE GRANADA,,29/11/2021,Resolución de 30 de junio de 2021 de la Universidad de Granada por la que se convocan Ayudas para la recualificación del sistema universitario español para 2021-2023,
597551,SI,OTROS,UNIVERSIDAD DE MÁLAGA,,29/11/2021,Resolución de 1 de julio 2021, del Rector de la Universidad de Málaga, por la que se convocan Ayudas para la recualificación del Sistema Universitario Español para 2021-2023 en el marco del Real Decreto 289/2021, de 20 de abril.,
597219,NO,OTROS,UNIVERSIDAD DE VALLADOLID,,26/11/2021,Resolución de 25 de noviembre de 2021, del Rectorado de la Universidad de Valladolid, por la que se convocan ayudas financieras Erasmus+ para la recepción de profesionales del EEES en la Universidad de Valladolid. Curso 2021-22,
597125,NO,OTROS,UNIVERSIDAD JAUME I DE CASTELLÓN,,25/11/2021,CONVOCATORIA DE AYUDAS DE ESTUDIO PARA ESTUDIANTADO DE GRADO, MÁSTER Y DOCTORADO, PROCEDENTE DE PAÍSES EMPOBRECIDOS, CURSO ACADÉMICO 2021/22,
597074,NO,OTROS,UNIVERSIDAD DE LA RIOJA,,25/11/2021,Convocatoria de ayudas para la movilidad docente internacional en el marco del Programa Erasmus+,
597066,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,25/11/2021,RESOLUCIÓN RECTORAL DE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE POR LA QUE SE CONVOCAN AYUDAS COMPLEMENTARIAS PARA ESTUDIANTES UMH PARTICIPANTES EN EL PROGRAMA DE MOVILIDAD INTERNACIONAL ERASMUS + CURSO ACADÉMICO 2020/2021,
597009,NO,OTROS,FUNDACIÓ PARC CIENTÍFIC DE LA UNIVERSITAT DE VALÈNCIA,,25/11/2021,Ayudas programa de apoyo a empresas innovadoras VLC STARTUP 2021,Ajudes programa de suport a empreses innovadores VLC STARTUP 2021.
596978,NO,OTROS,UNIVERSIDAD DE VALLADOLID,,25/11/2021,Resolución de 22 de noviembre de 2021, del Rectorado de la Universidad de Valladolid, por la que se convocan 4 becas de colaboración y formación en el Servicio de Relaciones Internacionales para el curso 2021/2022.,
596934,NO,OTROS,UNIVERSIDAD DE LA RIOJA,,25/11/2021,Convocatoria para cubrir un puesto de trabajo mediante contratación laboral temporal de un técnico de apoyo con cargo al proyecto de referencia 622371-EPP-1-2020-1-IT-SPO-SCP, titulado: Exercise for diabetes: beneficial effect of new educational and phys,
596929,NO,OTROS,CÁMARA DE COMERCIO DE ANDÚJAR,,25/11/2021,Convocatoria Extraordinaria de ayudas económicas destinadas al fomento del empleo de 2021. Línea 1. Cámara de Comercio de Andújar PROGRAMA INTEGRAL DE CUALIFICACIÓN Y EMPLEO - PLAN DE CAPACITACIÓN. Segundo Semestre.,
596850,NO,OTROS,CONSEJO REGIONAL DE CÁMARAS DE COMERCIO DE CASTILLA-LA MANCHA,,24/11/2021,Ayudas al autoempleo PICE Consejo de Cámaras de Comercio Castilla-La Mancha. 2021.,
596832,NO,OTROS,CONSEJO REGIONAL DE CÁMARAS DE COMERCIO DE CASTILLA-LA MANCHA,,24/11/2021,Ayudas a la contratación PICE Consejo de Cámaras de Comercio Castilla-La Mancha. 2021.,
596816,NO,OTROS,UNIVERSIDAD DE VALLADOLID,,24/11/2021,Resolución de 23 de noviembre de 2021, del Rectorado de la Universidad de Valladolid, por la que se convocan ayudas financieras Erasmus+ KA103 para la movilidad del personal de administración y servicios (PAS) de la Universidad de Valladolid, curso 21-22,
596785,SI,OTROS,UNIVERSIDAD AUTÓNOMA DE BARCELONA,,24/11/2021,Resolución de 2 de julio de 2021 del rector de la UNIVERSIDAD AUTONOMA DE BARCELONA, por la cual se aprueba  la convocatoria de ayudas para la recualificación dels sistema universitario español, 2021-2023, en el marco del Real Decreto 289/2021,Resolució de 2 de juliol de 2021 del rector de la UNIVERSITAT AUTÒNOMA DE BARCELONA, per la qual saprova la convocatòria dajuts per a la requalificació del sistema universitari espanyol, 2021-2023, en el marc del Reial Decret 289/2021
596778,NO,OTROS,UNIVERSIDAD DE VALLADOLID,,24/11/2021,Resolución de 23 de noviembre de 2021, del Rectorado de la Universidad de Valladolid, por la que se convocan ayudas financieras Erasmus+ KA103 para la movilidad del personal docente e investigador (PDI) de la UVa, curso académico 2021/22.,
596712,SI,OTROS,UNIVERSIDAD DE MURCIA,,24/11/2021,Resolución del Rector de la Universidad de Murcia, R-880/2021, de 30 de junio, por la que se convocan ayudas en el marco del Programa para la Recualificación del Sistema Universitario Español durante el trienio 2021-2023.,
596624,SI,OTROS,UNIVERSIDAD PABLO DE OLAVIDE,,24/11/2021,RESOLUCIÓN DE 1 DE JULIO DE 2021, DEL RECTOR DE LA UNIVERSIDAD PABLO DE OLAVIDE, POR LA QUE SE APRUEBA LA CONVOCATORIA DE AYUDAS PARA LA RECUALIFICACIÓN DEL SISTEMA UNIVERSITARIO ESPAÑOL PARA 2021-2023.,
596557,NO,OTROS,UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE,,23/11/2021,CONVENIO DE COLABORACIÓN ENTRE LA UNIVERSIDAD MIGUEL HERNÁNDEZ DE ELCHE Y LA ASOCIACIÓN UNICORNIO NEGRO PARA LA COLABORACIÓN EN EL IX FESTIVAL INTERNACIONAL DE CINE FANTÁSTICO DE ELCHE,
596454,NO,OTROS,CÁMARA DE COMERCIO DE MADRID,,23/11/2021,Ayudas al autoempleo PICE Cámara de Comercio de Madrid. 2021.,
