Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
489668,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Jordania 2019 Gobernabilidad  Tafilah Women Charitable Society,
489667,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Jordania 2019 Gobernabilidad Afaq Jordan for Development and Training Jóvenes,
489666,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental 2019 OCHA Participación de España en el sistema UNDAC,
489665,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Palestina 2019 Gobernabilidad HaMoked Protección de Derechos en Jerusalén Este,
489664,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Plan estratégico país provisional de Argelia 2019-2022,
489663,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental PERU-Reconocimiento y ejercicio de los derechos politicos, sociales y culturales de la pobalcjion af,
489662,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental ACNUR-Campamentos saharauis-Colombia-El Salvador-Niger-El Libano-Siria-2019,
489661,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental PMA Reserva alimentaria internacional de emergencia (RAIE) 2019,
489660,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental El Salvador 2019 Gobernabilidad COAMSS Fortalecimiento capacidades locales gestión integral,
489659,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Mauritania 2019 Gobernabilidad género policía,
489658,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Ecuador 2019 Territorio Demostrativo LAIF Cerezal-Bellavista,
489657,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental CICR Sudán del Sur-Violencia Sexual-No marcado 2019,
489656,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental 2019 Venezuela UNICEF Todos a la Escuela. Apoyo al acceso a una educación inclusiva y de calidad en,
489655,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Iberoamérica 2019 cultura Programa Iberorquestas SEGIB,
489654,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Iberoamérica 2019 cultura Programa Ibermuseos Segib,
489653,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Iberoamérica 2019 cultura Programa Iberarchivos ADAI,
489652,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Iberoamérica 2019 cultura Programa Iberoescena OEI,
489651,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Iberoamérica 2019 cultura Programa Ibermedia CACI,
489650,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Ecuador 2019 Territorio Demostrativo LAIF Las Mercedes,
489649,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Palestina 2019 Rural JCP Resiliencia y crecimiento económico sector agrícola en Gaza,
489648,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental El Salvador 2019 Separación y Recuperación Plásticos - Medio Ambiente,
489647,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental HONDURAS 2019 Gobernabilidad Derechos Humanos,
489646,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Honduras 2019 Gobernabilidad SETCAM,
489645,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Regional/Fondo Contribuciones Voluntarias Poblaciones Indígenas NNUU Ginebra.,
489644,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental Actúa Chiquimula: Combatir la desnutrición infantil impulsando la acción comunitaria y soluciones te,
489643,NO,ESTADO,MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,28/12/2019,Convocatoria Instrumental EUROCLIMA  Agua 2019 Guatemala gestión sostenible abastecimiento agua potable,
