Administración,Administraci�n,Código BDNS,C�digo BDNS,Departamento,Fecha de registro,Mecanismo de Recuperación y Resiliencia,Mecanismo de Recuperaci�n y Resiliencia,Título cooficial,Título de la convocatoria,T�tulo cooficial,T�tulo de la convocatoria,Órgano,�rgano
ESTADO,,20132011397201,,MINISTERIO DE HACIENDA,15/01/2014,NO,,,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales.,,,DIRECCIÓN GENERAL DE FONDOS EUROPEOS,
ESTADO,,201320111490401,,MINISTERIO DE HACIENDA,11/01/2014,NO,,,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales.,,,DIRECCIÓN GENERAL DE FONDOS EUROPEOS,
ESTADO,,2013201120102401,,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,22/01/2014,NO,,,BECAS FULLBRIGHT,,,SUBSECRETARÍA DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,
ESTADO,,2013201124203001,,MINISTERIO DE CULTURA,24/01/2014,NO,,,Convenio con la entidad Lluisos de Gracia para la adecuacion del edificio sede de dicha entidad,,,OA GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA,
ESTADO,,2013201124203101,,MINISTERIO DE CULTURA,22/01/2014,NO,,,Convenio con el ayuntamiento de Serinya (Gerona) para la sala polivalente,,,OA GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA,
ESTADO,,20132012864301,,MINISTERIO DE HACIENDA,11/01/2014,NO,,,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales.,,,DIRECCIÓN GENERAL DE FONDOS EUROPEOS,
ESTADO,,201320121438901,,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",30/01/2014,NO,,,CONVOCATORA DE SUBVENCIONES PARA FORMACION E INVESTIGACION EN MATERIAS DE INTERES PARA EL ORGANISMO PARA EL AÑO 2013,,,CENTRO DE INVESTIGACIONES SOCIOLÓGICAS,
ESTADO,,2013201223600101,,MINISTERIO DE INDUSTRIA Y TURISMO,27/01/2014,NO,,,"Ley 17/2012, de 27 de diciembre, de Presupuestos Generales del Estado para el año 2013.",,,"OFICINA ESPAÑOLA DE PATENTES Y MARCAS, O.A.",
ESTADO,,2013201223600801,,MINISTERIO DE INDUSTRIA Y TURISMO,27/01/2014,NO,,,"Ley 17/2012, de 27 de diciembre, de Presupuestos Generales del Estado para el año 2013.",,,"OFICINA ESPAÑOLA DE PATENTES Y MARCAS, O.A.",
ESTADO,,2013201223601201,,MINISTERIO DE INDUSTRIA Y TURISMO,27/01/2014,NO,,,"Ley 17/2012, de 27 de diciembre, de Presupuestos Generales del Estado para el año 2013.",,,"OFICINA ESPAÑOLA DE PATENTES Y MARCAS, O.A.",
ESTADO,,2013201223601401,,MINISTERIO DE INDUSTRIA Y TURISMO,27/01/2014,NO,,,"Ley 17/2012, de 27 de diciembre, de Presupuestos Generales del Estado para el año 2013.",,,"OFICINA ESPAÑOLA DE PATENTES Y MARCAS, O.A.",
ESTADO,,2013201223602001,,MINISTERIO DE INDUSTRIA Y TURISMO,27/01/2014,NO,,,"Ley 17/2012, de 27 de diciembre, de Presupuestos Generales del Estado para el año 2013.",,,"OFICINA ESPAÑOLA DE PATENTES Y MARCAS, O.A.",
ESTADO,,2013201223602101,,MINISTERIO DE INDUSTRIA Y TURISMO,27/01/2014,NO,,,"Ley 17/2012, de 27 de diciembre, de Presupuestos Generales del Estado para el año 2013.",,,"OFICINA ESPAÑOLA DE PATENTES Y MARCAS, O.A.",
ESTADO,,2013201223602201,,MINISTERIO DE INDUSTRIA Y TURISMO,27/01/2014,NO,,,"Ley 17/2012, de 27 de diciembre, de Presupuestos Generales del Estado para el año 2013.",,,"OFICINA ESPAÑOLA DE PATENTES Y MARCAS, O.A.",
ESTADO,,20132013211,,"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",03/01/2014,NO,,,"Orden AAA/1175/2013, de 19 de junio, por la que se establecen las bases reguladoras y la convocatoria de medidas de apoyo con objeto de paliar los daños producidos en el sector olivarero por la sequía y otras causas extraordinaria",,,"SUBSECRETARÍA DE AGRICULTURA, PESCA Y ALIMENTACIÓN",
ESTADO,,20132013201001,,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",29/01/2014,NO,,,RES 30/ENERO/2013 CENTRO DES TEC IND APRUEBA CONVOCATORIA 2013 PARA CCAA ANDALUCIA PROC CONCESION SUBV DESTINADAS A FOMENTAR COOPERACION PUBLICO-PRIVADA EN (I+D) EN AREAS DE IMPORTANCIA PARA EL DESARROLLO ECONOMICO ESPAÑOL(PROG FEDER-INNTERCONECTA),,,CENTRO PARA EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN E.P.E,
