Convocante,Convocatoria,Código BDNS,Reglamento,Objetivos,Instrumento de ayuda,Tipo de empresa,Fecha de concesión,Código concesión,Fecha de registro,Beneficiario,Importe nominal,Elemento de ayuda,Región concesión,Sector actividad,Referencia medida
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370815,17/02/2023,"A03197167 - PRODUCTOS KELMY, S.A.U.",240355,240355,ES521 - Alicante / Alacant,10.8 - Fabricación de otros productos alimenticios,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370817,17/02/2023,"B53114583 - ARTE-XIXONA, S.L.",239250,239250,ES521 - Alicante / Alacant,18.1 - Artes gráficas y servicios relacionadas con las mismas,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,,14/12/2022,SB81370818,17/02/2023,"B12313003 - FORES DISEÑO, S.L.",1232780.28,1232780.28,ES522 - Castellón / Castelló,,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370820,17/02/2023,"B87312484 - COMERCIAL DISTRIBUIDORA DE TECNICAS DE NUTRICION VEGETAL, S.L.",236532.45,236532.45,ES523 - Valencia / València,"20.1 - Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias",SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370821,17/02/2023,"B98240369 - DELIBREADS EUROPE, S.L.U.",674694.46,674694.46,ES523 - Valencia / València,10.7 - Fabricación de productos de panadería y pastas alimenticias,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370824,17/02/2023,"B46281267 - PRODUCTOS VELARTE, S.L.",213422.76,213422.76,ES523 - Valencia / València,10.7 - Fabricación de productos de panadería y pastas alimenticias,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370826,17/02/2023,"B35904168 - PUNTA GUANARTEME PROMOCIONES, S.L.",484739.84,484739.84,ES705 - Gran Canaria,55.1 - Hoteles y alojamientos similares,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370827,17/02/2023,"A09001082 - GALLETAS CORAL, S.A.",377033.7,377033.7,ES412 - Burgos,10.7 - Fabricación de productos de panadería y pastas alimenticias,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,23/12/2022,SB81370830,17/02/2023,"B02742617 - PRECO PUERTOLLANO, S.L.",5233268.66,5233268.66,ES422 - Ciudad Real,38.2 - Tratamiento y eliminación de residuos,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,GRAN EMPRESA,14/12/2022,SB81370831,17/02/2023,A05337365 - ALCARRIA TERMAL S.A.,2121387.43,2121387.43,ES424 - Guadalajara,55.1 - Hoteles y alojamientos similares,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,GRAN EMPRESA,14/12/2022,SB81370833,17/02/2023,"B19325786 - LOGISFASHION SPAIN, S.L.",163997.47,163997.47,ES425 - Toledo,82.9 - Actividades de apoyo a las empresas n.c.o.p.,SA.41932
ESTADO MINISTERIO DE HACIENDA DIRECCIÓN GENERAL DE FONDOS EUROPEOS,Incentivos Regionales para la corrección de los desequilibrios económicos interterritoriales,300692,"REG (UE) 651/2014, DE 17 DE JUNIO, de exención de notificación",ART. 14 AYUDAS REGIONALES A LA INVERSIÓN,SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,14/12/2022,SB81370834,17/02/2023,"A06117048 - INDUSTRIAS QUIMICAS DE BADAJOZ, S.A.",1218222.32,1218222.32,ES431 - Badajoz,"20.4 - Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos",SA.41932
