Código BDNS,Mecanismo de Recuperación y Resiliencia,Administración,Departamento,Órgano,Fecha de registro,Título de la convocatoria,Título cooficial
838020,NO,EIBAR,AYUNTAMIENTO DE EIBAR,,06/06/2025,Subvención nominativa para Udako Euskal Unibertsitatea para la organización de actividades y dinámicas que fomenten el carácter de Ciudad Educadora de Eibar,"Udako Euskal Unibertsitateari, Eibarren Hiri Hezitzaile izaera sustatzen duten jarduerak eta dinamikak antolatzeko dirulaguntza izenduna"
838019,NO,HUELVA,AYUNTAMIENTO DE HUELVA,,06/06/2025,CONVENIO DE COLABORACIÓN ENTRE EL EXCMO. AYUNTAMIENTO DE HUELVA Y LA ASOCIACIÓN DE FAMILIARES Y PERSONAS CON ENFERMEDAD MENTAL DE HUELVA Y SU PROVINCIA (FEAFES) 2025,
838017,NO,EIBAR,AYUNTAMIENTO DE EIBAR,,06/06/2025,Subvención nominativa a favor de Badihardugu Euskara Elkartea para la investigación y difusión de los dialectos del euskera de la cuenta del Deba 2025,2025 urtean Deba Arroko eskualdeko euskararen euskalkia ikertzeko eta hedatzeko Badihardugu Euskara Elkartearen aldeko dirulaguntza izenduna
838016,NO,ADEJE,AYUNTAMIENTO DE ADEJE,,06/06/2025,Subvención nominativa a TOMAS RAMON DIAZ RAMOS para el desarrollo de su proyecto deportivo durante el ejercicio 2024,
838014,NO,ALFAFAR,AYUNTAMIENTO DE ALFAFAR,,06/06/2025,SUBVENCIÓN NOMINATIVA A CÁRITAS - PARROQUIA NUESTRA SEÑORA DEL DON DE ALFAFAR - EJERCICIO 2025.,
838009,NO,ALFAFAR,AYUNTAMIENTO DE ALFAFAR,,06/06/2025,"SUBVENCIÓN NOMINATIVA - ASOCIACIÓN DE ACCIÓN SOCIAL ""SOMOS MOVIMIENTO"" - EJERCICIO 2025.",
838001,NO,TARRAGONA,AYUNTAMIENTO DE TARRAGONA,,06/06/2025,CONVOCATORIA 2025 PARA LA CONCESIÓN DE AYUDAS POR LA APERTURA DE ESTABLECIMIENTOS COMERCIALES DE LA CIUDAD DE TARRAGONA “AYUDAS COMERCIO EN MARCHA”,CONVOCATÒRIA 2025 PER A LA CONCESSIÓ D’AJUTS PER L’OBERTURA D’ESTABLIMENTS COMERCIALS DE LA CIUTAT DE TARRAGONA “AJUTS COMERÇ EN MARXA”
838000,NO,TÀRREGA,AYUNTAMIENTO DE TÀRREGA,,06/06/2025,"DECRETO DE ALCALDÍA DEL 4 DE JUNIO DE 2025, POR EL QUE SE ABRE LA CONVOCATORIA PARA LAS AYUDAS INDIVIDUALES DE COMEDOR DIRIGIDAS AL ALUMNADO ESCOLARIZADO EN CUALQUIER DE LOS CURSOS DE LAS ENSEÑANZAS DEL SEGUNDO CICLO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECU","DECRET DEL 4 DE JUNY DE 2025, PEL QUE S’APROVEN ELS AJUTS INDIVIDUALS DE MENJADOR ADREÇATS A L’ALUMNAT ESCOLARITZAT EN QUALSEVOL DELS CURSOS DELS ENSENYAMENTS DEL SEGON CICLE D’EDUCACIÓ INFANTIL, D’EDUCACIÓ PRIMÀRIA I D’EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA, DE"
837999,NO,TALAVERA DE LA REINA,AYUNTAMIENTO DE TALAVERA DE LA REINA,,06/06/2025,Subvención nominativa a favor de la Asociación de Vecinos LA ALAMEDA,
837996,NO,VIC,AYUNTAMIENTO DE VIC,,06/06/2025,CONVENIO DE COLABORACION CON LA ASOCIACION TAPIS PARA EL APOYO A SITUACIONES DE JOVENES EN RIESGO DE EXCLUSION SOCIAL 2025,
837995,NO,VIC,AYUNTAMIENTO DE VIC,,06/06/2025,SUBVENCIÓN CONVENIO GESTION MUSEU DEL ARTE DE LA PIEL,
837994,NO,VIC,AYUNTAMIENTO DE VIC,,06/06/2025,Aprobar el convenio con la Asociación de vecinos del Barri de l`Horta Vermella para el fomento de las entidades vecinales i el asociacionismo en los barrios de la ciudad de Vic,
837993,NO,VIC,AYUNTAMIENTO DE VIC,,06/06/2025,Aprovar el conveni amb la Fundació Vedruna Catalunya - Vic per a la gratuÃ¯tat I2.,
